id,name,census,total_pct,total_pct_2015,diff,ind_vote,ind_pct,no_ind_vote,no_ind_pct,el_sap_parlar_pct,resta_estat_pct,estrangers_pct,educacio_superior_pct,educacio_basica_pct,renta_disponiblemedia,median_age,density
08001,Abrera,8967,85.81,80.12,5.689999999999998,2289,29.85,5342,69.32,67.86,24.44,9.93,25.13,64.88,22785,39.64,609.744836
08002,Aguilar de Segarra,215,87.91,80.79,7.11999999999999,160,86.49,25,11.39,,5.95,2.38,,,,45.85,5.84078302
08003,Alella,7142,84.89,82.68,2.2099999999999937,3561,58.92,2454,40.29,84.04,13.43,10.57,45.41,50.93,34451,43.76,993.838039
08004,Alpens,212,91.98,93.16,-1.1799999999999926,179,91.79,14,7.18,95.82,3.04,5.74,,,,43.83,21.4947319
08005,L' Ametlla del Vallès,6317,85.52,82.22,3.299999999999997,3464,64.22,1911,35.28,87.67,12.75,9.45,39.1,57.97,31223,41.74,589.084033
08006,Arenys de Mar,11669,81.1,77.02,4.079999999999998,5996,63.58,3402,35.72,84.11,16.26,14.19,24.54,69.13,22027,43.95,2275.73499
08007,Arenys de Munt,6624,84.78,82.19,2.5900000000000034,4025,71.81,1562,27.67,88.74,11.62,7.6,26.64,66.49,22042,41.57,416.093642
08008,Argençola,190,83.16,80.85,2.3100000000000023,135,85.45,23,14.55,88.75,2.88,13.99,,,,47.45,4.77913752
08009,Argentona,9291,86.63,81.71,4.920000000000002,4678,58.28,3314,41.02,84.44,16.14,6.33,27.55,63.92,24075,42.02,476.326746
08010,Artés,4218,85.73,80.32,5.410000000000011,2481,68.95,1099,30.05,86.71,13.47,9.96,23.69,66.22,20145,41.25,312.549743
08011,Avià,1756,87.07,85.88,1.1899999999999977,1333,87.23,184,11.98,93.69,4.3,5.8,25.05,61.4,19916,43.72,83.0009495
08012,Avinyó,1697,84.91,85.66,-0.75,1195,83.28,228,15.47,91.9,8.91,10.68,18.49,73.13,19294,43.71,35.166708
08013,Avinyonet del Penedès,1246,86.04,81.45,4.590000000000003,736,68.66,331,30.87,81.22,10.68,11.33,19.14,69.53,24736,43.32,56.6345408
08014,Aiguafreda,2008,85.41,83.72,1.6899999999999977,1254,73.55,447,25.64,87.04,13.49,6.6,17.54,72.42,22147,44.54,310.957894
08015,Badalona,155725,80.05,75.46,4.590000000000003,40631,32.72,83083,66.52,61.94,23.55,15.63,19.94,66.53,20675,41.69,10280.2793
08016,Bagà,1817,85.91,81.85,4.060000000000002,1102,70.72,446,28.45,92.18,17.15,5.35,19.89,67.66,19910,49.87,50.088953
08017,Balenyà,2783,85.2,80.87,4.329999999999998,1574,66.58,772,32.36,83.74,14.78,8.72,13.3,76.93,18407,40.91,214.490404
08018,Balsareny,2592,83.33,78.88,4.450000000000003,1270,59.08,869,39.95,83.63,18.43,9.59,19.81,67.26,19901,46.6,89.0713156
08019,Barcelona,1125908,81.6,77.08,4.519999999999996,418220,45.8,491134,53.51,72.32,19.53,21.02,38.68,53.82,27558,43.06,16209.3641
08020,Begues,5031,87.08,84.19,2.8900000000000006,2463,56.4,1888,42.91,83.91,14.26,8.42,39.28,56.84,29470,40.67,133.456513
08021,Bellprat,68,86.76,82.61,4.150000000000006,38,67.86,18,27.06,,3.3,4.4,,,,54.8,2.41071592
08022,Berga,12192,81.44,77.79,3.6499999999999915,7600,76.85,2253,22.39,86.82,11.92,14.7,22.8,65.08,20759,44.63,716.66976
08023,Bigues i Riells,6800,84.18,78.87,5.310000000000002,3085,54.22,2580,44.75,80.92,16.86,5.48,23.47,68.39,23690,41.26,305.385402
08024,Borredà,369,85.37,85.49,-0.11999999999999034,259,82.22,55,17.46,80.57,5.65,18.15,,,,49.05,10.5566196
08025,El Bruc,1501,84.74,79.68,5.059999999999988,777,61.28,481,37.62,89.92,12.52,8.5,32.11,59.12,24208,39.68,42.467295
08026,El Brull,183,91.26,88.83,2.430000000000007,151,90.42,15,8.98,98.78,3.49,6.98,,,,40.45,6.37622284
08027,Les Cabanyes,696,87.07,85.65,1.4199999999999875,401,66.39,202,33.11,91.39,10.23,5.7,,,,40.8,791.472575
08028,Cabrera d'Anoia,1033,77.06,73.31,3.75,323,40.73,467,58.51,75.59,21.51,7.53,6.3,74.63,19426,41.84,78.9149342
08029,Cabrera de Mar,3528,89,86.86,2.1400000000000006,2034,64.99,1079,34.15,89.15,11.92,7.5,40.83,55.49,31218,43.02,503.723437
08030,Cabrils,5129,88.07,84.78,3.289999999999992,2939,65.16,1560,34.44,89.44,9.58,11.11,43.79,52.21,34621,42.12,1041.4761
08031,Calaf,2363,85.4,82.77,2.6300000000000097,1380,68.63,623,30.62,81.43,11.55,21.42,11.75,73.56,19715,42.08,369.356764
08032,Caldes d'Estrac,2013,80.97,78.24,2.730000000000004,1002,61.65,620,37.86,80.82,14.33,17.61,38.57,53.94,27025,44.7,3465.86139
08033,Caldes de Montbui,13010,84.24,79.56,4.679999999999993,6185,56.63,4686,42.57,80.27,18.23,12.35,28.34,62.07,23007,41.77,454.478671
08034,Calders,767,87.61,82.88,4.730000000000004,546,81.73,122,17.67,89.73,9.73,3.24,,,,44.43,28.8085474
08035,Calella,12680,78.3,75.36,2.9399999999999977,5778,58.42,4071,40.79,73.87,16.38,22.42,22.88,69.53,19912,43.12,2311.73967
08036,Calonge de Segarra,166,84.94,82.5,2.4399999999999977,125,88.66,15,10.63,89.5,1.97,2.46,,,,50.5,5.13650739
08037,Calldetenes,1890,88.62,86.12,2.5,1407,84.1,260,15.42,87.18,7.61,7.86,20.36,65.91,21020,40.43,422.159718
08038,Callús,1512,85.65,79.19,6.460000000000008,935,72.37,349,26.78,80.91,11.99,10.58,22.41,64.03,21371,40.23,165.721508
08039,Campins,391,88.49,84.12,4.36999999999999,273,79.36,71,20.06,97,6.15,10.04,,,,42.67,63.2809133
