Població segons lloc de naixement  per comunitats autònomes
Municipis. 2011
"Font: Idescat, a partir del Cens de població i habitatges de l'INE."
"El Cens 2011 inclou dades provinents d'enquesta. Els resultats han estat convenientment arrodonits i es mostren sense decimals. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació per sexe, edat o territori."
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=censph&n=12&by=mun
Codi,Literal,Catalunya,Barcelona,Girona,Lleida,Tarragona,Resta Estat,Andalusia,Aragó,Principat d'Astúries,Illes Balears,Canàries,Cantàbria,Castella - la Manxa,Castella i Lleó,Comunitat Valenciana,Extremadura,Galícia,Comunitat de Madrid,Regió de Múrcia,Comunitat Foral de Navarra,País Basc,"Rioja, La",Ceuta i Melilla,Estranger,Total
250019,Abella de la Conca,156,39,1,113,3,7,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,9,172,
080018,Abrera,7754,7574,28,89,63,2888,1457,128,26,8,9,27,252,220,92,263,174,72,63,13,41,5,39,1173,11815,
250024,Àger,476,89,2,382,3,47,14,9,0,1,1,0,3,7,3,2,4,2,1,0,0,0,0,65,588,
250030,Agramunt,4074,501,11,3537,25,554,272,47,7,4,3,0,24,30,17,108,15,10,7,0,1,1,8,984,5612,
080023,Aguilar de Segarra,231,221,0,10,0,15,6,2,0,1,0,0,0,1,2,0,2,0,0,0,1,0,0,6,252,
170010,Agullana,593,81,500,7,5,80,37,7,0,2,0,1,6,10,5,4,4,3,0,0,1,0,0,166,839,
080142,Aiguafreda,1973,1914,24,20,15,333,180,16,6,8,3,0,14,40,10,25,13,4,4,1,5,2,3,163,2469,
430017,Aiguamúrcia,684,252,3,10,419,129,56,10,1,1,3,1,8,13,10,10,6,3,5,0,0,1,1,84,896,
170025,Aiguaviva,670,55,608,3,4,68,28,2,1,1,0,0,4,12,4,6,4,3,0,0,1,0,2,38,776,
250387,Aitona,1634,80,4,1537,13,233,56,66,1,3,1,0,30,15,18,19,7,3,10,1,2,0,1,541,2409,
250045,"Alamús, els",561,15,1,542,3,70,33,11,0,0,1,1,6,5,1,5,4,2,1,0,0,0,0,111,742,
250058,Alàs i Cerc,301,43,2,253,4,43,11,6,2,0,1,0,3,3,0,7,7,2,0,0,1,0,0,29,374,
250061,"Albagés, l'",371,36,4,324,7,49,30,4,0,0,1,0,1,5,0,3,1,2,0,0,1,0,1,12,432,
170031,Albanyà,115,27,86,1,1,9,2,0,0,1,0,0,1,1,0,0,2,0,0,0,1,0,1,17,142,
