Població de 16 anys i més segons nivell d'instrucció
Municipis. 2011
"Font: Idescat, a partir del Cens de població i habitatges de l'INE."
.. Informació no disponible. Vegeu metodologia.

"El Cens 2011 inclou dades provinents d'enquesta. Els resultats han estat convenientment arrodonits i es mostren sense decimals. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació per sexe, edat o territori."
 
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=censph&n=15&by=mun
Codi,Literal,No sap llegir o escriure,Sense estudis,Educació primària,ESO,Batxillerat superior,FP grau mitjà,FP grau superior,Diplomatura,Grau universitari,Llicenciatura i doctorat,Total
080018,Abrera,192,637,1059,3093,978,1011,1177,664,..,538,9465,
250030,Agramunt,..,311,657,1656,650,301,235,243,..,433,4601,
080142,Aiguafreda,..,149,284,781,241,180,132,111,..,117,2052,
250387,Aitona,..,258,451,648,158,128,..,103,..,..,1888,
250077,Albatàrrec,..,143,322,525,112,183,156,146,..,56,1687,
250083,Albesa,..,140,292,408,130,169,..,68,..,..,1402,
430022,Albinyana,..,178,328,792,238,148,95,..,..,..,1952,
430043,Alcanar,196,798,1313,3164,1006,980,496,456,..,505,8965,
250117,Alcarràs,..,631,1228,2295,1084,539,551,343,131,350,7177,
250122,Alcoletge,..,182,330,928,274,235,221,190,70,110,2619,
430056,Alcover,..,378,691,1296,331,272,406,210,..,412,4221,
439044,"Aldea, l'",..,545,596,1630,306,135,266,105,..,94,3756,
080039,Alella,..,246,705,1300,1413,449,602,777,427,1642,7593,
250138,Alfarràs,..,250,442,978,207,204,67,178,..,115,2528,
430094,Alforja,..,89,255,585,167,138,112,..,..,96,1508,
250169,Alguaire,..,252,461,836,314,161,221,202,..,114,2613,
250194,Almacelles,222,347,735,2009,521,516,234,334,..,397,5325,
250215,Almenar,185,334,652,1030,266,202,184,115,..,122,3111,
430115,Almoster,..,41,113,260,162,97,106,124,54,160,1117,
170062,Alp,..,66,325,345,325,..,68,55,..,126,1454,
250236,Alpicat,..,260,464,1085,667,364,403,585,..,846,4817,
430120,Altafulla,..,195,660,738,437,168,257,315,155,890,3925,
170078,Amer,..,173,391,605,240,114,122,88,..,132,1958,
430136,"Ametlla de Mar, l'",..,611,917,2109,860,375,499,268,..,342,6142,
080057,"Ametlla del Vallès, l'",..,165,485,1728,1034,494,571,568,291,1093,6453,
439060,"Ampolla, l'",..,161,556,720,508,377,100,115,..,328,2911,
430141,Amposta,228,1076,3503,6206,2258,1243,1104,954,..,888,17618,
170084,Anglès,115,415,826,1530,536,378,259,225,..,348,4660,
250273,Anglesola,..,58,246,462,146,65,51,..,..,76,1160,
250292,Arbeca,..,191,391,811,248,135,149,127,..,..,2158,
430167,"Arboç, l'",118,407,618,1517,391,353,408,158,..,361,4345,
170097,Arbúcies,115,396,1349,1561,780,323,283,206,..,390,5452,
080060,Arenys de Mar,..,643,1920,3395,2107,980,896,656,314,1117,12154,
080076,Arenys de Munt,..,372,1088,2165,684,543,516,520,173,586,6738,
080095,Argentona,102,702,1111,3176,1111,636,782,801,150,868,9440,
080109,Artés,..,338,759,1487,420,331,406,404,..,262,4526,
