Població de 2 anys i més segons coneixement del català
Municipis. 2011
"Font: Idescat, a partir del Cens de població i habitatges de l'INE."
.. Informació no disponible. Vegeu metodologia.

"El Cens 2011 inclou dades provinents d'enquesta. Els resultats han estat convenientment arrodonits i es mostren sense decimals. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació per sexe, edat o territori."
 
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=censph&n=17&by=mun
Codi,Literal,L'entén,El sap parlar,El sap llegir,El sap escriure,No l'entén,Població de 2 anys i més
250019,Abella de la Conca,169,164,161,107,0,169,
080018,Abrera,10796,7703,8748,6099,556,11351,
250024,Àger,508,426,451,325,..,514,
250030,Agramunt,5344,4472,4582,3692,..,5416,
080023,Aguilar de Segarra,..,..,..,..,..,..,
170010,Agullana,773,673,730,522,..,819,
080142,Aiguafreda,2362,2062,2047,1574,..,2369,
430017,Aiguamúrcia,805,706,701,528,74,878,
170025,Aiguaviva,758,705,706,607,..,761,
250387,Aitona,2019,1499,1591,938,169,2187,
250045,"Alamús, els",739,663,669,435,0,739,
250058,Alàs i Cerc,366,344,326,278,..,367,
250061,"Albagés, l'",423,385,403,293,..,424,
170031,Albanyà,140,128,133,98,..,142,
250077,Albatàrrec,1975,1737,1702,1307,..,2023,
250083,Albesa,1530,1315,1273,950,..,1630,
250096,"Albi, l'",820,734,760,564,..,833,
430022,Albinyana,2192,1751,1868,1258,103,2295,
430038,"Albiol, l'",427,388,392,301,..,430,
170046,Albons,680,646,629,510,..,689,
430043,Alcanar,9820,7617,7923,4993,317,10137,
250100,Alcanó,233,223,219,170,0,233,
250117,Alcarràs,7861,6176,6265,4644,599,8461,
250122,Alcoletge,2787,2462,2458,1883,..,2953,
430056,Alcover,4834,4172,4200,3275,..,4954,
439044,"Aldea, l'",4231,3309,3436,2444,..,4371,
430069,Aldover,913,783,787,486,..,928,
430075,"Aleixar, l'",878,728,789,591,..,888,
080039,Alella,8923,7696,7917,6068,235,9158,
430081,Alfara de Carles,385,348,344,233,..,395,
250138,Alfarràs,2978,2418,2508,1679,..,3005,
250143,Alfés,324,302,269,189,0,324,
430094,Alforja,1719,1485,1521,1207,..,1757,
250156,Algerri,434,395,397,264,..,438,
250169,Alguaire,2974,2619,2640,1885,..,3033,
250175,Alins,296,286,281,219,0,296,
430108,Alió,386,355,365,232,0,386,
250194,Almacelles,5819,4625,4787,3297,483,6302,
250208,Almatret,357,296,324,177,0,357,
250215,Almenar,3333,2795,2899,1994,177,3510,
430115,Almoster,1363,1252,1299,1043,..,1366,
250220,Alòs de Balaguer,137,127,130,90,0,137,
170062,Alp,1512,1176,1255,959,..,1659,
080044,Alpens,287,275,262,231,0,287,
250236,Alpicat,5798,5127,5117,4068,162,5960,
250241,Alt Àneu,418,405,399,289,..,425,
430120,Altafulla,4560,3663,3933,2891,184,4744,
170078,Amer,2207,2019,2031,1554,..,2224,
430136,"Ametlla de Mar, l'",6662,5015,5300,3597,528,7190,
080057,"Ametlla del Vallès, l'",7807,6913,6974,5645,..,7885,
439060,"Ampolla, l'",3134,2497,2650,1840,..,3256,
430141,Amposta,20325,17008,17281,11666,435,20760,
170084,Anglès,5103,4678,4564,3442,481,5585,
250273,Anglesola,1312,1193,1156,827,..,1346,
